rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Legends FC Del Mar ECNL G2008/09,Legends FC - Del Mar,131727,2,2,0,0,6,3.0,6,1,5
2,San Diego Surf ECNL G2008/09,San Diego Surf Soccer Club,132458,1,1,0,0,3,3.0,5,3,2
3,Slammers FC HB Koge ECNL G2008/09,Slammers FC,133600,2,2,0,0,6,3.0,4,2,2
4,Beach Futbol Club (CA) ECNL G2008/09,Beach Futbol Club,131920,1,1,0,0,3,3.0,2,1,1
5,Sporting California USA ECNL G2008/09,Sporting California USA,134098,2,1,1,0,3,1.5,2,2,0
6,LA Breakers FC ECNL G2008/09,LA Breakers FC,55512,1,0,0,1,1,1.0,4,4,0
7,LV Heat Surf ECNL G2008/09,LV Heat Surf SC ,50614,1,0,0,1,1,1.0,4,4,0
8,Eagles SC ECNL G2008/09,Eagles SC,6122,1,0,0,1,1,1.0,2,2,0
9,Legends FC (CA) ECNL G2008/09,Legends FC (CA),133009,1,0,0,1,1,1.0,2,2,0
10,Utah Royals FC AZ ECNL G2008/09,Utah Royals FC - AZ,56530,2,0,1,1,1,0.5,5,7,-2
11,SLAMMERS FC ECNL G2008/09,Slammers FC,42498,2,0,1,1,1,0.5,2,4,-2
12,Arizona Arsenal ECNL G2008/09,Arizona Arsenal Soccer Club,134275,0,0,0,0,0,0.0,0,0,0
13,Phoenix Rising FC ECNL G2008/09,Phoenix Rising FC,59771,0,0,0,0,0,0.0,0,0,0
14,Pateadores Soccer Club ECNL G2008/09,Pateadores Soccer Club,130900,1,0,1,0,0,0.0,1,2,-1
15,LAFC So Cal ECNL G2008/09,LAFC So Cal,133707,1,0,1,0,0,0.0,1,2,-1
16,So Cal Blues ECNL G2008/09,So Cal Blues,135784,1,0,1,0,0,0.0,0,1,-1
17,Rebels SC ECNL G2008/09,Rebels Soccer Club,26385,1,0,1,0,0,0.0,1,4,-3
