rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Beach Futbol Club (CA) ECNL G2009/10,Beach Futbol Club,131921,1,1,0,0,3,3.0,6,1,5
2,Legends FC Del Mar ECNL G2009/10,Legends FC - Del Mar,131719,1,1,0,0,3,3.0,4,0,4
3,San Diego Surf ECNL G2009/10,San Diego Surf Soccer Club,132459,1,1,0,0,3,3.0,3,0,3
4,Legends FC (CA) ECNL G2009/10,Legends FC (CA),133022,1,1,0,0,3,3.0,3,2,1
5,LA Breakers FC ECNL G2009/10,LA Breakers FC,68845,1,1,0,0,3,3.0,2,1,1
6,So Cal Blues ECNL G2009/10,So Cal Blues,135896,1,1,0,0,3,3.0,2,1,1
7,Slammers FC HB Koge ECNL G2009/10,Slammers FC,133599,1,1,0,0,3,3.0,2,1,1
8,Eagles SC ECNL G2009/10,Eagles SC,5544,2,1,1,0,3,1.5,6,3,3
9,Utah Royals FC-AZ ECNL G2009/10,Utah Royals FC - AZ,62330,2,1,1,0,3,1.5,1,3,-2
10,Arizona Arsenal ECNL G2009/10,Arizona Arsenal Soccer Club,134278,0,0,0,0,0,0.0,0,0,0
11,Phoenix Rising FC ECNL G2009/10,Phoenix Rising FC,68888,0,0,0,0,0,0.0,0,0,0
12,LV Heat Surf ECNL G2009/10,LV Heat Surf SC ,42984,1,0,1,0,0,0.0,1,2,-1
13,Sporting California USA ECNL G2009/10,Sporting California USA,134094,1,0,1,0,0,0.0,1,2,-1
14,SLAMMERS FC ECNL G2009/10,Slammers FC,64956,1,0,1,0,0,0.0,0,1,-1
15,Rebels SC ECNL G2009/10,Rebels Soccer Club,21001,1,0,1,0,0,0.0,0,4,-4
16,Pateadores Soccer Club ECNL G2009/10,Pateadores Soccer Club,130975,2,0,2,0,0,0.0,1,6,-5
17,LAFC So Cal ECNL G2009/10,LAFC So Cal,133709,1,0,1,0,0,0.0,1,6,-5
