rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bay Area Surf - ECNL G2011/12,Bay Area Surf,95449,5,4,0,1,13,2.6,18,6,12
2,MVLA ECNL G2011/12,MVLA,55325,6,4,0,2,14,2.33,28,4,24
3,COSC ECNL G2011/12,California Odyssey Soccer Club,113580,6,4,1,1,13,2.17,19,7,12
4,Placer United ECNL G2011/12,Placer United Soccer Club,68030,6,4,1,1,13,2.17,11,12,-1
5,San Juan SC ECNL G2011/12,San Juan Soccer Club,84677,6,4,2,0,12,2.0,23,7,16
6,Mustang SC ECNL G2011/12,Mustang Soccer,29444,6,3,0,3,12,2.0,20,6,14
7,Davis Legacy ECNL G2011/12,Davis Legacy Soccer Club,90732,6,2,3,1,7,1.17,13,14,-1
8,Santa Rosa United ECNL G2011/12,Santa Rosa United Soccer,132203,6,2,4,0,6,1.0,7,20,-13
9,Marin FC ECNL G2011/12,Marin FC,92794,6,1,3,2,5,0.83,6,15,-9
10,Pleasanton RAGE ECNL G2011/12,Pleasanton Rage,63606,5,1,4,0,3,0.6,4,18,-14
11,Force (CA) ECNL G2011/12,Force,69022,6,0,5,1,1,0.17,1,21,-20
12,Stanislaus Surf - ECNL G2011/12,Stanislaus Surf Soccer Club,82858,6,0,6,0,0,0.0,4,24,-20
