rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Match Fit Surf ECNL G2013/14,Match Fit Surf,78082,2,2,0,0,6,3.0,9,0,9
2,PDA Blue ECNL G2013/14,PDA Blue (North),128076,2,2,0,0,6,3.0,5,3,2
3,Philadelphia Ukranian Nationals ECNL G2013/14,Philadelphia Ukrainian Nationals,134968,2,2,0,0,6,3.0,2,0,2
4,Maryland United FC ECNL G2013/14,Maryland United Football Club,82349,1,1,0,0,3,3.0,1,0,1
5,FC DELCO ECNL G2013/14,FC DELCO,132885,2,1,1,0,3,1.5,4,4,0
6,Penn Fusion Soccer Academy ECNL G2013/14,Penn Fusion Soccer Academy,135477,3,1,1,1,4,1.33,4,3,1
7,PDA White ECNL G2013/14,PDA White (Shore),128277,2,0,1,1,1,0.5,1,7,-6
8,Pipeline SC ECNL G2013/14,Pipeline SC,110326,3,0,3,0,0,0.0,1,4,-3
9,Bethesda SC ECNL G2013/14,Bethesda SC,135171,2,0,2,0,0,0.0,0,3,-3
10,HEX FC Bucks ECNL G2013/14,HEX FC,131588,1,0,1,0,0,0.0,0,3,-3
