rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Maryland United FC ECNL G2012/13,Maryland United Football Club,95035,1,1,0,0,3,3.0,5,0,5
2,Bethesda SC ECNL G2012/13,Bethesda SC,135183,1,1,0,0,3,3.0,1,0,1
3,Match Fit Surf ECNL G2012/13,Match Fit Surf,43460,2,1,0,1,4,2.0,8,3,5
4,PDA Blue ECNL G2012/13,PDA Blue (North),128078,2,1,0,1,4,2.0,6,4,2
5,PDA White ECNL G2012/13,PDA White (Shore),128279,2,1,0,1,4,2.0,5,3,2
6,Philadelphia Ukranian Nationals ECNL G2012/13,Philadelphia Ukrainian Nationals,134967,2,1,1,0,3,1.5,5,1,4
7,FC DELCO ECNL G2012/13,FC DELCO,94408,1,0,0,1,1,1.0,3,3,0
8,Penn Fusion Soccer Academy ECNL G2012/13,Penn Fusion Soccer Academy,135481,2,0,2,0,0,0.0,3,7,-4
9,HEX FC Bucks ECNL G2012/13,HEX FC,131592,1,0,1,0,0,0.0,2,7,-5
10,Pipeline SC ECNL G2012/13,Pipeline SC,79385,2,0,2,0,0,0.0,0,10,-10
