rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Colorado Storm ECNL G2009/10,Colorado Storm,69485,3,3,0,0,9,3.0,9,1,8
2,Challenge SC ECNL G2009/10,Challenge SC,129339,2,2,0,0,6,3.0,9,3,6
3,Real Colorado National ECNL G2009/10,Real Colorado,69251,3,3,0,0,9,3.0,6,0,6
4,Albion Hurricanes FC ECNL G2009/10,Albion Hurricanes FC,59340,2,2,0,0,6,3.0,6,0,6
5,Sting Black ECNL G2009/10,Sting Soccer Club,48667,1,1,0,0,3,3.0,2,1,1
6,Dallas Texans ECNL G2009/10,Dallas Texans,134485,0,0,0,0,0,0.0,0,0,0
7,DKSC ECNL G2009/10,DKSC,68923,0,0,0,0,0,0.0,0,0,0
8,FC Dallas Youth ECNL G2009/10,FC Dallas Youth,46266,0,0,0,0,0,0.0,0,0,0
9,OK Energy FC ECNL G2009/10,Oklahoma Energy FC,61013,0,0,0,0,0,0.0,0,0,0
10,SOLAR SC ECNL G2009/10,Solar SC,66050,0,0,0,0,0,0.0,0,0,0
11,West Side Alliance ECNL G2009/10,West Side Alliance SC,110467,0,0,0,0,0,0.0,0,0,0
12,Sting Royal ECNL G2009/10,Sting Soccer Club,68974,1,0,1,0,0,0.0,1,2,-1
13,FC Westlake ECNL G2009/10,FC Westlake ,131276,2,0,2,0,0,0.0,1,5,-4
14,Lonestar ATX Red ECNL G2009/10,Lonestar ATX,132697,2,0,2,0,0,0.0,0,5,-5
15,Colorado Rush ECNL G2009/10,Colorado Rush,94985,3,0,3,0,0,0.0,2,9,-7
16,Real Colorado Athletico ECNL G2009/10,Real Colorado,69250,3,0,3,0,0,0.0,1,11,-10
