rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,United Futbol Academy ECNL G2013/14,United Futbol Academy,120529,3,3,0,0,9,3.0,11,0,11
2,Alabama FC ECNL G2013/14,Alabama FC,131379,3,3,0,0,9,3.0,10,1,9
3,GSA ECNL G2013/14,Gwinnett Soccer Academy,131501,4,3,0,1,10,2.5,13,4,9
4,Athletic Club Florida ECNL G2013/14,Athletic Club Florida,132224,3,2,0,1,7,2.33,9,3,6
5,Florida Premier FC ECNL G2013/14,Florida Premier FC,113740,3,2,0,1,7,2.33,6,4,2
6,Concorde Fire Platinum ECNL G2013/14,Concorde Fire ,133392,4,3,1,0,9,2.25,13,3,10
7,Atlanta Fire United ECNL G2013/14,Atlanta Fire United,127664,4,3,1,0,9,2.25,8,2,6
8,Florida Kraze Krush ECNL G2013/14,Florida Kraze Krush,34961,4,2,1,1,7,1.75,11,5,6
9,Seminole United ECNL G2013/14,Seminole United,132964,3,1,1,1,4,1.33,4,3,1
10,CESA Liberty ECNL G2013/14,Carolina Elite Soccer Academy,106034,3,1,1,1,4,1.33,5,5,0
11,Team Boca ECNL G2013/14,Team Boca,132000,4,1,2,1,4,1.0,4,11,-7
12,South Carolina United ECNL G2013/14,South Carolina United FC,132215,2,0,1,1,1,0.5,3,7,-4
13,Concorde Fire Premier ECNL G2013/14,Concorde Fire ,133400,4,0,3,1,1,0.25,3,10,-7
14,Sporting SA JAX ECNL G2013/14,Sporting SA,113642,5,0,4,1,1,0.2,2,8,-6
15,Tampa Bay United ECNL G2013/14,Tampa Bay United,112272,4,0,4,0,0,0.0,2,10,-8
16,Jacksonville FC ECNL G2013/14,Jacksonville FC,114707,5,0,5,0,0,0.0,0,28,-28
